nts_name	scale	edition	edition_note	province	sheet_name	east_west	utm_zone	style	year_valid	year_print	notes	multiple_sheets	copy	condition	Column 16
001F06	50.0	1.0		NS	Chedabucto Bay	w	20.0	p		1955.0
023M16	50.0	1.0			Lac Chaulieu		19.0	m		1978.0
023N01	50.0	1.0			Lac Weeks		19.0	m		1978.0
023N02	50.0	1.0			Lac Kerverso		19.0	m		1978.0
023N03	50.0	2.0			Lac Bazire		19.0	m		1990.0
023N03	50.0	1.0			Lac Bazire		19.0
023N04	50.0	2.0			Lac Tassigny		19.0	m		1990.0
023N04	50.0	1.0			Lac Tassigny		19.0
023N05	50.0	1.0			Lac Sérigny		19.0	m		1978.0
023N06	50.0	1.0			Lac Lippé		19.0	m		1978.0
023N07	50.0	1.0			Lac Lachaîne		19.0	m		1978.0
023N08	50.0	1.0			Lac Fontisson		19.0	m		1978.0
023N09	50.0	2.0			Canyon Eaton		19.0	p		1983.0
023N09	50.0	1.0	Provisional  ;	QC	Eaton Canyon		19.0	m	1948.0	1961.0	edited to Eaton Canyon from Canyon Eaton, per map in hand ;			yellowing around periphery, major rolled fold left border and centre fold ;
023N10	50.0	1.0			Lac Riopel		19.0	m		1978.0
023N11	50.0	1.0			Lac Chartré		19.0	m		1978.0
023N12	50.0	1.0			Lac Lefrançois		19.0	m		1978.0
023N13	50.0	1.0			Lac Chalet		19.0	m		1978.0
023N14	50.0	1.0			Lac Baril		19.0	m		1978.0
023N15	50.0	2.0			Rivière Sérigny		19.0	p		1983.0
023N15	50.0	1.0	Provisional  ;	QC	Rivière Sérigny		19.0	m	1948.0	1959.0				yellowing around periphery, major deformation left border ;
023N16	50.0	2.0			Chute Au Granite		19.0	p		1983.0
023N16	50.0	1.0	Provisional  ;	QC	Granite Falls		19.0	m	1949.0	1960.0	edited to Granite Falls from Chute Au Granite, per map in hand ;			minor yellowing, major rolled fold left border and centre fold ;
023O01	50.0	1.0		QC/NL	Willbob Lake	e	19.0	m	1948.0	1954.0	edited to Willbob Lake from Lac Willbob, per west quadrant ;
023O01	50.0	1.0		QC/NL	Willbob Lake	w	19.0	m	1948.0	1954.0	edited to Willbob Lake from Lac Willbob, per map in hand ;			yellowing, minor tears to bottom border, larger tear left border ;
023O02	50.0	1.0			Lac Tait	e	19.0	p		1966.0
023O02	50.0	1.0			Lac Tait	w	19.0
023O02	50.0	1.0	 	QC/NL	Tait Lake	e	19.0	m	1948.0	1954.0	edited to Tait Lake from Lac Tait, per map in hand ;
023O02	50.0	1.0	 	QC/NL	Tait Lake	w	19.0	m	1948.0	1954.0	edited to Tait Lake from Lac Tait, per map in hand ;			minor yellowing to top border, minor fold top left corner ;
023O03	50.0	1.0		QC/NL	Boundary Lake	e	19.0	m	1948.0	1954.0	edited to Boundary Lake from Lac de la Frontière, per map in hand ;
023O03	50.0	1.0		QC/NL	Boundary Lake	w	19.0	m	1948.0	1954.0	edited to Boundary Lake from Lac de la Frontière, per map in hand ;
023O03	50.0	2.0			Lac de la Frontière	e	19.0
023O03	50.0	2.0			Lac de la Frontière	w	19.0	p		1966.0
023O04	50.0	1.0			Lac Pailleraut	e	19.0
023O04	50.0	1.0			Lac Pailleraut	w	19.0	p		1958.0
023O05	50.0	1.0		QC	Helluva Lake	e	19.0	p	1948.0	1958.0	edited to Helluva Lake from Lac Helluva, per map in hand ;			minor yellowing, minor fold top left corner ;
023O05	50.0	1.0		QC	Helluva Lake	w	19.0	p	1948.0	1958.0	edited to Helluva Lake from Lac Helluva, per map in hand ;			minor yellowing-greying ;
023O05	50.0	2.0			Lac Helluva		19.0	p		1983.0
023O06	50.0	2.0			Lac Le Fer		19.0	p		1983.0
023O06	50.0	1.0		QC	Lac Le Fer	e	19.0	m	1948.0	1954.0				minor fold top left corner ;
023O06	50.0	1.0		QC	Lac Le Fer	w	19.0	m	1948.0	1954.0
023O07	50.0	1 ase	Overprint  ;  Interim corrections 1966 ;	QC/NL	Bacchus Lake	e	19.0	m	1966.0	1966.0	edited to Bacchus Lake from Lac Bacchus ;			minor yellowing ;
023O07	50.0	1 ase	Overprint  ;  Interim corrections 1966 ;	QC/NL	Bacchus Lake	w	19.0	m	1966.0	1966.0	edited to Bacchus Lake from Lac Bacchus ;			minor yellowing-greying ;
023O07	50.0	1.0	 	QC/NL	Bacchus Lake	e	19.0	m	1948.0	1954.0	edited to Bacchus Lake from Lac Bacchus, per map in hand ;
023O07	50.0	1.0	 	QC/NL	Bacchus Lake	w	19.0	m	1948.0	1954.0	edited to Bacchus Lake from Lac Bacchus, per map in hand ;			minor yellowing ;
023O07	50.0	2.0			Lac Bacchus		19.0	p		1983.0
023O08	50.0	3.0			Lac Thompson		19.0	p		1983.0				minor yellowing, minor tears to bottom border ;
023O08	50.0	2.0			Lac Thompson		19.0
023O08	50.0	1.0		QC	Thompson Lake	e	19.0	m	1948.0	1955.0	edited to Thompson Lake from Lac Thompson, per map in hand ;			minor yellowing ;
023O08	50.0	1.0		QC	Thompson Lake	w	19.0	m	1948.0	1955.0	edited to Thompson Lake from Lac Thompson, per map in hand ;			minor yellowing ;
023O09	50.0	2.0			Lac Rivet		19.0	p		1983.0
023O09	50.0	1.0		QC	Rivet Lake	e	19.0	m	1948.0	1954.0	edited to Rivet Lake from Lac Rivet, per map in hand ;
023O09	50.0	1.0		QC	Rivet Lake	w	19.0	m	1948.0	1954.0	edited to Rivet Lake from Lac Rivet, per map in hand ;
023O10	50.0	1.0	 	QC	Ahr Lake	e	19.0	m	1948.0	1954.0	edited to Ahr Lake from Lac Ahr, per map in hand ;
023O10	50.0	1.0	 	QC	Ahr Lake	w	19.0	m	1948.0	1954.0	edited to Ahr Lake from Lac Ahr, per map in hand ;
023O10	50.0	2.0			Lac Ahr		19.0	p		1983.0
023O11	50.0	1.0			Lac Musset		19.0	p		1982.0
023O11	50.0	1.0		QC	Lac Musset	e	19.0	m	1948.0	1954.0
023O11	50.0	1.0		QC	Lac Musset	w	19.0	m	1948.0	1954.0
023O12	50.0	2.0			Lac Wakuach		19.0	p		1983.0
023O12	50.0	1.0		QC	Wakuach Lake	e	19.0	p	1946.0	1959.0	edited to Wakuach Lake from Lac Wakuach, per map in hand ;			minor yellowing ;
023O12	50.0	1.0		QC	Wakuach Lake	w	19.0	p	1946.0	1959.0	edited to Wakuach Lake from Lac Wakuach, per map in hand ;			minor yellowing ;
023O13	50.0	2.0			Lac Ribero		19.0	p		1983.0
023O13	50.0	1.0		QC	Lac Ribero	e	19.0	p	1948.0	1958.0				minor yellowing ;
023O13	50.0	1.0		QC	Lac Ribero	w	19.0	p	1948.0	1958.0				minor yellowing ;
023O14	50.0	2.0			Collines Corrugated		19.0	p		1983.0
023O14	50.0	1.0	Provisional  ;	QC	Corrugated Hills		19.0	m	1949.0	1959.0	edited to Corrugated Hills from Collines Corrugated, per map in hand ;			major rolling fold left border, minor folds to periphery, yellowing ;
023O15	50.0	2.0			Lac Vannes		19.0	p		1983.0
023O15	50.0	1.0	Provisional  ;	QC	Lac Vannes	e	19.0	m	1959.0	1963.0				yellowing bottom and right borders, minor tear and fold bottom right border, minor folds top left corner ;
023O15	50.0	1.0	Provisional  ;	QC	Lac Vannes	w	19.0	m	1959.0	1963.0				yellowing bottom and right borders, minor tear and fold bottom right border, minor folds top left corner ;
023O16	50.0	2 mce		QC	Lac Gitton		19.0	m	1948.0	1983.0				major fold, minor fold top left corner ;
023O16	50.0	1 ase		QC	Lac Gitton	e	19.0	m	1959.0	1963.0
023O16	50.0	1 ase	Provisional  ;	QC	Lac Gitton	w	19.0	m	1959.0	1963.0				minor yellowing ;
023O16	50.0	1.0	Provisional  ;	QC	Lac Gitton	e	19.0	m	1959.0	1963.0				minor tear and fold right border, minor yellowing ;
023O16	50.0	1.0		QC	Lac Gitton	w	19.0	m	1959.0	1963.0
023P01	50.0	1.0			Lac Lacasse		20.0	m		2001.0
023P01	50.0	1 mce		QC	Lac Lacasse		20.0	m		1975.0				major fold ;
023P02	50.0	1.0			Lac Merville		20.0	m		1975.0
023P03	50.0	1.0			Lac Vreisnic		20.0	m		1976.0
023P04	50.0	1.0		QC	Griffis Lake	e	20.0	m	1948.0	1954.0	edited to Griffis Lake from Lac Griffis, per map in hand ;			minor tear top left border, minor folds top border, minor yellowing ;
023P04	50.0	1.0		QC	Griffis Lake	w	20.0	m	1948.0	1954.0	edited to Griffis Lake from Lac Griffis, per map in hand ;			minor folds top border, minor yellowing ;
023P04	50.0	2.0			Lac Griffis		20.0	p		1983.0
023P05	50.0	1.0		QC	Deborah Lake	e	20.0	m	1948.0	1954.0	edited to Deborah Lake from Lac Deborah, per map in hand ;			minor yellowing ;
023P05	50.0	1.0		QC	Deborah Lake	w	20.0	m	1948.0	1954.0	edited to Deborah Lake from Lac Deborah, per map in hand ;			yellowing ;
023P05	50.0	2.0			Lac Deborah		20.0	p		1983.0
023P06	50.0	1.0			Lac Grand Rosoy		20.0	m		1976.0
023P07	50.0	1.0			Lac Advance		20.0	m		1975.0
023P08	50.0	1.0			Lac Raude		20.0	m		1975.0
023P09	50.0	1.0			Lac Leif		20.0	m		1975.0
023P10	50.0	1.0			Lac Mortrel		20.0	m		1982.0
023P11	50.0	1.0			Lac Recouet		20.0	m		1976.0
023P12	50.0	1.0			Lac McCabe		20.0	m		1976.0
023P13	50.0	1.0			Lac Champdoré		20.0	m		1976.0
023P14	50.0	1.0			Lac Tudor		20.0	m		1976.0
023P15	50.0	1.0			Lac Pallatin		20.0	m		1975.0
023P16	50.0	1.0			Lac Bjarni		20.0	m		1975.0
024A01	50.0	1.0			Lac Cananée		20.0	m		1974.0
024A02	50.0	1.0			Rivière Déat		20.0	m		1974.0
024A03	50.0	1.0			Lac Rielle		20.0	m		1974.0
024A04	50.0	1.0			Lac Hurtubise		20.0	m		1974.0
024A05	50.0	1.0			Lac Ythier		20.0	m		1974.0
024A06	50.0	1.0			Lac Coiffier		20.0	m		1974.0
024A07	50.0	1.0			Lac de la Hutte Sauvage		20.0	m		1974.0
024A08	50.0	1.0			Lac Dihourse		20.0	m		1974.0
024A09	50.0	1.0			Lac Pelland		20.0	m		1974.0
024A10	50.0	1.0			La Haute Falaise		20.0	m		1974.0
024A11	50.0	1.0			Lac Leofred		20.0	m		1974.0
024A12	50.0	1.0			Lac Parrot		20.0	m		1974.0
024A13	50.0	1.0			Lac Brégent		20.0	m		1974.0
024A14	50.0	1.0			Lac Cholmondely		20.0	m		1974.0
024A15	50.0	1.0			Lac Terriault		20.0	m		1974.0
024A16	50.0	1 mce		NL/QC	Lac Pennoyer		20.0	m		1973.0				major fold, yellowing and minor creases-folds ;
024B01	50.0	1.0			Lac Payant		19.0	m		1973.0
024B02	50.0	1.0			Lac Beaufort		19.0	m		1974.0
024B03	50.0	1.0		QC	Lac Effiat	e	19.0	p	1949.0	1959.0	edited to Lac Effiat from Lac Gachet, per map in hand ;			fold to top left corner, yellowing ;
024B03	50.0	1.0		QC	Lac Effiat	w	19.0	p	1949.0	1959.0	edited to Lac Effiat from Lac Gachet, per map in hand ;			minor folds top left corner, right and bottom borders, minor yellowing ;
024B03	50.0	2.0			Lac Gachet		19.0	p		1982.0
024B04	50.0	1.0		QC	Dunphy Lake	e	19.0	p	1949.0	1957.0	edited to Dunphy Lake from Lac Dunphy, per map in hand ;			minor folds to bottom border, yellowing to periphery ;
024B04	50.0	1.0		QC	Dunphy Lake	w	19.0	p	1949.0	1957.0	edited to Dunphy Lake from Lac Dunphy, per map in hand ;			minor folds to bottom border, yellowing to periphery ;
024B04	50.0	2.0			Lac Dunphy		19.0	p		1982.0
024B05	50.0	1.0		QC	Lac Romanet	e	19.0	m	1949.0	1958.0	edited to Lac Romanet from Lac Viellard, per map in hand ;			minor folds to bottom border,  yellowing top border ;
024B05	50.0	1.0		QC	Lac Romanet	w	19.0	m	1949.0	1958.0	edited to Lac Romanet from Lac Viellard, per map in hand ;			minor folds to bottom border,  yellowing top border ;
024B05	50.0	2.0			Lac Veillard		19.0	p		1982.0
024B06	50.0	1.0			Lac Duhamel		19.0	m		1975.0
024B07	50.0	1.0			Lac Saint Servan		19.0	m		1974.0
024B08	50.0	1.0			Lac Serre		19.0	m		1973.0
024B09	50.0	1.0			Lac Ninawawe		19.0	m		1974.0
024B10	50.0	1.0			Lac Morel		19.0	m		1974.0
024B11	50.0	1.0			Lac Wheeler		19.0	m		1975.0
024B12	50.0	2.0			Lac Horseshoe		19.0	p		1982.0
024B12	50.0	1.0			Lac Horseshoe		19.0
024B13	50.0	1.0			Lac Brissac		19.0	m		1975.0
024B14	50.0	1.0			Lac Lhande		19.0	m		1975.0
024B15	50.0	1.0			Lac Loquin		19.0	m		1974.0
024B16	50.0	1.0			Lac Uzureau		19.0	m		1974.0
024C01	50.0	1.0			Lac Otelnuc		19.0	p		1982.0
024C02	50.0	2.0			Lac Lace		19.0	p		1987.0
024C02	50.0	1.0		QC	Lace Lake	e	19.0	m	1949.0	1956.0	edited to Lace Lake from Lac Lace, per map in hand ;
024C02	50.0	1.0		QC	Lace Lake	w	19.0	m	1949.0	1956.0	edited to Lace Lake from Lac Lace, per map in hand ;			minor crease-fold top left corner, minor yellowing right border ;
024C03	50.0	1.0			Lac Pien		19.0	m		1979.0
024C04	50.0	1.0			Lac Wawiyusi Anatwayach		19.0	m		1979.0
024C05	50.0	2.0			Lac de Noue		19.0	m		1986.0
024C05	50.0	1 mce		QC	Lac de Noue		19.0	m		1974.0				major fold ;
024C06	50.0	1.0		QC	Cambrian Lake	e	19.0	m	1949.0	1958.0	edited to Cambrian Lake from Lac Cambrien, per map in hand ;
024C06	50.0	1.0		QC	Cambrian Lake	w	19.0	m	1949.0	1958.0	edited to Cambrian Lake from Lac Cambrien, per map in hand ;
024C06	50.0	3.0			Lac Cambrien		19.0	m		1983.0
024C06	50.0	2.0			Lac Cambrien		19.0
024C07	50.0	1.0		QC	Chakonipau Lake	e	19.0	m	1948.0	1957.0	edited to Chakonipau Lake from Lac Castignon, per map in hand ;
024C07	50.0	1.0		QC	Chakonipau Lake	w	19.0	m	1948.0	1957.0	edited to Chakonipau Lake from Lac Castignon, per map in hand ;
024C07	50.0	2.0			Lac Castignon		19.0	p		1982.0
024C08	50.0	2.0			Lac Mistamisk		19.0	p		1982.0
024C08	50.0	1.0		QC	Mistamisk Lake	e	19.0	m	1949.0	1957.0	edited to Mistamisk Lake from Lac Mistamisk, per map in hand ;			minor creases-folds, yellowing right border ;
024C08	50.0	1.0		QC	Mistamisk Lake	w	19.0	m	1949.0	1957.0	edited to Mistamisk Lake from Lac Mistamisk, per map in hand ;			minor creases-folds, yellowing right border ;
024C09	50.0	2.0			Lac Nachicapau		19.0	p		1982.0
024C09	50.0	1.0		QC	Nachicapau Lake	e	19.0	m	1949.0	1958.0	edited to Nachikapau Lake from Lac Nachikapau, per map in map ;
024C09	50.0	1.0		QC	Nachicapau Lake	w	19.0	m	1949.0	1958.0	edited to Nachikapau Lake from Lac Nachikapau, per map in map ;
024C10	50.0	2.0			Lac Patu		19.0	p		1982.0
024C10	50.0	1.0		QC	Lac Patu	e	19.0	m	1949.0	1958.0				minor yellowing ;
024C10	50.0	1.0		QC	Lac Patu	w	19.0	m	1949.0	1958.0				minor yellowing, wear and grey marks verso ;
024C11	50.0	2.0			Chute Aux Schistes		19.0	p		1982.0
024C11	50.0	1.0		QC	Shale Falls	e	19.0	m	1948.0	1957.0	edited to Shale Falls from Chute Aux Schistes, per map in hand ;			minor yellowing ;
024C11	50.0	1.0		QC	Shale Falls	w	19.0	m	1948.0	1957.0	edited to Shale Falls from Chute Aux Schistes, per map in hand ;			minor yellowing ;
024C12	50.0	2.0			[Untitled]		19.0	p		1982.0
024C12	50.0	1.0			[Untitled]		19.0
024C13	50.0	2.0			Lac Methuselah		19.0	p		1982.0
024C13	50.0	1.0	Provisional  ;	QC	Lake Methuselah		19.0	m	1949.0	1960.0	edited to Lake Methuselah from Lac Methuselah, per map in hand ;			major folds to left border and centre, yellowing to periphery ;
024C14	50.0	1.0			Lac de la Moraine		19.0	p		1982.0
024C15	50.0	2.0			Fort Mackenzie		19.0	p		1983.0
024C15	50.0	1.0		QC	Fort Mackenzie	e	19.0	m	1949.0	1956.0
024C15	50.0	1.0		QC	Fort Mackenzie	w	19.0	m	1949.0	1956.0				minor fold top right corner ;
024C16	50.0	2.0			Lac Marcel		19.0	p		1982.0
024C16	50.0	1.0		QC	Lac Marcel	e	19.0	m	1949.0	1958.0				minor yellowing ;
024C16	50.0	1.0		QC	Lac Marcel	w	19.0	m	1949.0	1958.0
024D01	50.0	1.0			Lac Foran		19.0	m		1979.0
024D02	50.0	1.0			Lac Moyer		19.0	m		1979.0
024D03	50.0	1.0			Lac Fremin		19.0	m		1978.0
024D04	50.0	1.0			Lac Arbique		19.0	m		1978.0
024D05	50.0	1.0			Lac Degrais		19.0	m		1978.0
024D06	50.0	1.0			Lac Spénard		19.0	m		1979.0
024D07	50.0	1.0			Lac Doran		19.0	m		1979.0
024D08	50.0	1.0			Lac Garault		19.0	m		1979.0
024D09	50.0	1.0			Lac Coursolles		19.0	m		1979.0
024D10	50.0	1.0			Lac Vallerenne		19.0	m		1979.0
024D11	50.0	1.0			Ruisseau Laperottière		19.0	m		1979.0
024D12	50.0	1.0			Lac Le Boux		19.0	m		1978.0
024D13	50.0	1.0			Ruisseau Soupras		19.0	m		1979.0
024D14	50.0	1.0			Rivière Delay		19.0	m		1979.0
024D15	50.0	1.0			Lac Desbergères		19.0	m		1979.0
024D16	50.0	1.0			Lac Montgenault		19.0	m		1979.0
024E01	50.0	2.0			Lac Aigneau		19.0	p		1982.0
024E01	50.0	1.0	Provisional  ;	QC	Lac Aigneau		19.0	m	1949.0	1960.0				major folds to left border and centre, yellowing to periphery ;
024E02	50.0	1.0			Lac Goret		19.0	m		1979.0
024E03	50.0	1.0			Ruisseau Missègle		19.0	m		1979.0
024E04	50.0	1.0			Lac Natuak		19.0	m		1979.0
024E05	50.0	1.0			Lac Grammont		19.0	m		1979.0
024E06	50.0	1.0			Lac Lamaletie		19.0	m		1979.0
024E07	50.0	1.0			Rivière Potier		19.0	m		1979.0
024E08	50.0	1.0			Lac Rigouville		19.0	p		1982.0
024E09	50.0	1.0			Colline Gossen	w	19.0	p		1982.0
024E10	50.0	1.0			Lac la Fidélité		19.0	m		1978.0
024E11	50.0	1.0			Lac Ikirtuuq		19.0	m		1978.0
024E12	50.0	1.0			Lac Kakiattukallak		19.0	m		1979.0
024E13	50.0	1.0			Lac Monchy		19.0	m		1979.0
024E14	50.0	1.0			Lac Ptarmigan		19.0	m		1979.0
024E15	50.0	1.0			Lac Nullualuk		19.0	m		1979.0
024E16	50.0	2.0			Lac Napier		19.0	p		1983.0
024E16	50.0	1.0		QC	Lac Napier	e	19.0	m	1949.0	1958.0				yellowing to periphery ;
024E16	50.0	1.0		QC	Lac Napier	w	19.0	m	1949.0	1958.0				yellowing entire sheet ;
024F01	50.0	2.0			Lac Buteux		19.0	p		1983.0
024F01	50.0	1.0		QC	Lac Buteux	e	19.0	m	1949.0	1958.0				yellowing entire sheet ;
024F01	50.0	1.0		QC	Lac Buteux	w	19.0	m	1949.0	1958.0				yellowing to periphery ;
024F02	50.0	2.0			Lac Jogues		19.0	p		1983.0
024F02	50.0	1.0			Lac Jogues		19.0
024F03	50.0	1.0			Lac la Lande	e	19.0	p		1958.0
024F03	50.0	1.0			Lac la Lande	w	19.0
024F04	50.0	1.0	Provisional  ;	QC	Drumlin Lake		19.0	m	1949.0	1960.0	edited to Drumlin Lake from Lac Drumlin, per map in hand ;			major fold to left border and centre, yellowing to periphery ;
024F04	50.0	2.0			Lac Drumlin		19.0	p		1983.0
024F05	50.0	1.0	Provisional  ;	QC	Forbes Lake		19.0	m	1949.0	1960.0	edited to Forbes Lake from Lac Forbes, per map in hand ;			major fold to left border and centre, yellowing to periphery and centre fold ;
024F05	50.0	2.0			Lac Forbes		19.0	p		1983.0
024F06	50.0	2.0			Lac Du Canyon		19.0	p		1983.0
024F06	50.0	1.0		QC	Limestone Falls	e	19.0	m	1949.0	1958.0	edited to Limestone Falls from Lac Du Canyon, per map in hand ; 			minor yellowing to right border ;
024F06	50.0	1.0		QC	Limestone Falls	w	19.0	m	1949.0	1958.0	edited to Limestone Falls from Lac Du Canyon, per map in hand ;
024F07	50.0	2.0			Lac Hérodier		19.0	p		1983.0
024F07	50.0	1.0		QC	Lac Hérodier	e	19.0	m	1949.0	1957.0				minor yellowing ;
024F07	50.0	1.0		QC	Lac Hérodier	w	19.0	m	1949.0	1957.0				minor yellowing ;
024F08	50.0	2.0			Lac Souel		19.0	p		1983.0
024F08	50.0	1.0		QC	Lac Souel	e	19.0	m	1949.0	1958.0				minor yellowing ;
024F08	50.0	1.0		QC	Lac Souel	w	19.0	m	1949.0	1958.0				minor yellowing ;
024F09	50.0	2.0			Lac Garreau		19.0	p		1983.0
024F09	50.0	1.0		QC	Lac Garreau	e	19.0	m	1949.0	1958.0
024F09	50.0	1.0		QC	Lac Garreau	w	19.0	m	1949.0	1958.0
024F10	50.0	1.0			Lac Le Mercier	e	19.0	p		1982.0
024F10	50.0	1.0			Lac Le Mercier	w	19.0
024F11	50.0	2.0			Gorge Du Manitou		19.0	p		1983.0
024F11	50.0	1.0		QC	Manitou Gorge	e	19.0	m	1949.0	1956.0	edited to Manitou Gorge from Gorge Du Manitou, per map in hand ;			minor yellowing to top border ;
024F11	50.0	1.0		QC	Manitou Gorge	w	19.0	m	1949.0	1956.0	edited to Manitou Gorge from Gorge Du Manitou, per map in hand ;			minor yellowing to top border ;
024F12	50.0	2.0			Confluent Kannilirqiq		19.0	p		1983.0
024F12	50.0	1.0		QC	Lower Larch River	e	19.0	m	1949.0	1958.0	edited to Lower Larch River from Confluent Kannilirqiq, per map in hand ;
024F12	50.0	1.0		QC	Lower Larch River	w	19.0	m	1949.0	1958.0	edited to Lower Larch River from Confluent Kannilirqiq, per map in hand ;
024F13	50.0	1.0			Lac Léopard	e	19.0	p		1958.0
024F13	50.0	1.0			Lac Léopard	w	19.0
024F14	50.0	1.0			Île Koksoak	e	19.0	p		1958.0
024F14	50.0	1.0			Île Koksoak	w	19.0
024F15	50.0	2.0			Lac Scattered		19.0	p		1983.0
024F15	50.0	1.0		QC	Scattered Lake	e	19.0	m	1949.0	1957.0	edited to Scattered Lake from Lac Scattered, per map in hand ;
024F15	50.0	1.0		QC	Scattered Lake	w	19.0	m	1949.0	1957.0	edited to Scattered Lake from Lac Scattered, per map in hand ;
024F16	50.0	1.0		QC	Dome Lake	e	19.0	m	1949.0	1958.0	edited to Dome Lake from Lac Du Dôme, per map in hand ;
024F16	50.0	1.0		QC	Dome Lake	w	19.0	m	1949.0	1958.0	edited to Dome Lake from Lac Du Dôme, per map in hand ;
024F16	50.0	2.0			Lac Du Dôme		19.0	p		1983.0
024G01	50.0	1.0			Lac Soissons		19.0	m		1973.0
024G02	50.0	1.0			Lac Papavoine		19.0	m		1973.0
024G03	50.0	1.0			Ruisseau Bétourné		19.0	m		1975.0
024G04	50.0	1.0			Lac Totel		19.0	m		1975.0
024G05	50.0	1.0			Lac Glover		19.0	m		1975.0
024G06	50.0	1.0			Lac Maunecy		19.0	m		1975.0
024G07	50.0	1.0			Lac la Moinerie		19.0	m		1973.0
024G08	50.0	1.0			Lac Gélin		19.0	m		1973.0
024G09	50.0	1.0			Lac Sivulijartalik		19.0	m		1973.0
024G10	50.0	1.0			Lac Guers		19.0	m		1973.0
024G11	50.0	1.0			Lac Saffray		19.0	m		1975.0
024G12	50.0	1.0			Lac Arié		19.0	m		1975.0
024G13	50.0	1.0			Rapide Sarvakutaaq		19.0	m		1975.0
024G14	50.0	1.0			Lac Marraliup		19.0	m		1975.0
024G15	50.0	1.0			Lac Treillet		19.0	m		1973.0
024G16	50.0	1.0			Lac Monceaux		19.0	m		1972.0
024H01	50.0	1.0			Lac Amarault		20.0	m		1973.0
024H02	50.0	1.0			Lac Péret		20.0	m		1973.0
024H03	50.0	1.0			Colline Wedge		20.0	m		1974.0
024H04	50.0	1.0			Lac Fajot		20.0	m		1973.0
024H05	50.0	1.0			Lac Qamanialuup		20.0	m		1974.0
024H06	50.0	1.0			Lac Noeud Coulant		20.0	m		1974.0
024H07	50.0	1.0			Lac Henrietta		20.0	m		1973.0
024H08	50.0	1.0			Lac Cougneau		20.0	m		1973.0
024H09	50.0	1.0			Lac Inuluttalik		20.0	m		1973.0
024H10	50.0	1.0			Riviere Siimittalik		20.0	m		1973.0
024H11	50.0	1.0			Colline Misurtuq		20.0	m		1974.0
024H12	50.0	1.0			Lac Doudan		20.0	m		1974.0
024H13	50.0	1.0			Île Qijualuit		20.0	m		1974.0
024H14	50.0	1.0			Collines Uquutaaluit		20.0	m		1982.0
024H15	50.0	1.0			Lac Laforme		20.0	m		1982.0
024H16	50.0	1.0			Rivière Qurlutuapik		20.0	m		1973.0
024I01	50.0	1.0			Lac Biraben		20.0	m		1973.0
024I02	50.0	1.0			Lac Tasirlaq		20.0	m		1973.0
024I03	50.0	1.0			Lac Ijurvik		20.0	m		1974.0
024I04	50.0	1.0			Rapides Sarvakallak		20.0	m		1974.0
024I05	50.0	1.0			Lac Kupaaluk		20.0	m		1972.0
024I06	50.0	1.0			Mont Nuvulialuk		20.0	m		1974.0
024I07	50.0	1.0			Lac Brumath		20.0	m		1973.0
024I08	50.0	1.0			Lac Tasiguluk		20.0	m		1973.0
024I09	50.0	1.0			Mont Haywood		20.0	m		1973.0
024I10	50.0	1.0			Chute Korluktok		20.0	m		1973.0
024I11	50.0	1.0			Ruisseau Naksaluk		20.0	m		1973.0
024I12	50.0	2.0			Kangiqsualujjuaq		20.0	p		1997.0
024I12	50.0	1 mce	Advance print ;	QC	Port Nouveau Quebec		20.0	m		1973.0	edited to Port Nouveau Quebec from Kangiqsualujjuaq, per map in hand ;			major fold, minor yellowing on periphery ;
024I13	50.0	1.0			Lac Qarliik		20.0	m		1973.0
024I14	50.0	1.0			Lac Amaruartuq		20.0	m		1973.0
024I15	50.0	1.0			Lac Thoynard		20.0	m		1973.0
024I16	50.0	1.0			Mount Silene		20.0	m		1973.0
024J01	50.0	1.0			Lac Tasirpaarusiq		19.0	m		1974.0
024J02	50.0	1.0			Lac Tasivalliajuq		19.0	m		1973.0
024J03	50.0	1.0			Lac Kavisililik		19.0	m		1975.0
024J04	50.0	1.0			Rivière Aveneau		19.0	m		1975.0
024J05	50.0	1.0			Cap Assaasijuup		19.0	m		1975.0
024J06	50.0	1.0			Alukpaluk Bay		19.0	m		1975.0
024J07	50.0	1.0			Rivière Danielou		19.0	m		1973.0
024J08	50.0	1.0			Îles Qikirtaaluit		19.0	m		1982.0
024J09	50.0	1.0			Rivière Marcol		19.0	m		1982.0
024J10	50.0	1.0			Arvalik Islands		19.0	m		1971.0
024J11	50.0	1.0			Saeglorsoak Island		19.0	m		1977.0
024J12	50.0	1.0			Pointe Guinard		19.0	m		1977.0
024J16	50.0	1.0			Cap Naujaat		19.0	m		1977.0
024K01	50.0	1.0		QC	Fort Chimo	e	19.0	m	1949.0	1956.0	edited to Fort Chimo from Kuujjuaq, per map in hand ;			yellowing and multiple minor folds to periphery ;
024K01	50.0	1.0		QC	Fort Chimo	w	19.0	m	1949.0	1956.0	edited to Fort Chimo from Kuujjuaq, per map in hand ;			minor yellowing ;
024K01	50.0	1.0	Preliminary ;	QC	Fort Chimo	 	19.0	p	 	1951.0	Fort Chimo Part of 24K/1 First Edition Preliminary Map ;			yellowing, large tears to periphery, some are mended ;
024K01	50.0	1.0		QC	Kuujjuaq		19.0	p		1956.0
024K02	50.0	1.0			Lac Gabriel		19.0	p		1959.0
024K03	50.0	2.0			Lac Thévenet		19.0	p		1983.0
